"","nameGiven","yearID","adjusted_salary","teamID","bats","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Rank","W","L","rank_delta","batting_Average","homerun_Average"
"39","George Antonio",1986,1566447.78925777,"TOR","R",159,641,101,198,38,6,31,108,7,8,41,62,3,2,0,6,15,4,86,76,1,0.308892355694228,0.0483619344773791
"40","Bruce Edwin",1986,1220748.96680088,"ATL","R",64,160,11,36,10,1,0,13,1,0,15,10,1,2,4,1,9,6,72,89,1,0.225,0
"41","Juan Jose",1986,972277.938159994,"BAL","R",113,343,48,103,15,0,6,36,2,3,40,49,1,3,2,6,12,7,73,89,1,0.300291545189504,0.0174927113702624
"42","Juan Bautista",1986,745413.085922662,"SFN","R",46,7,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,3,83,79,0,0.142857142857143,0
"43","Antonio",1986,1253158.23140621,"CLE","B",146,562,88,169,28,4,17,73,17,8,53,77,5,6,7,8,6,5,84,78,0,0.300711743772242,0.0302491103202847
"44","Karl Jon",1986,151243.234824888,"SEA","R",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,67,95,1,0,0
"45","Roland Americo",1986,356501.910658664,"KCA","B",100,190,24,46,4,4,2,8,5,1,15,50,0,0,4,0,3,3,76,86,1,0.242105263157895,0.0105263157894737
"46","Dann James",1986,172849.411228443,"MON","R",79,191,12,37,5,0,4,17,1,0,14,32,3,0,7,0,5,4,78,83,1,0.193717277486911,0.0209424083769634
"47","Harry Ralston",1986,1393598.37802932,"KCA","L",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,86,1,0,0
"48","Vida Rochelle",1986,972277.938159994,"SFN","B",28,43,3,4,1,0,1,3,0,0,6,20,0,0,4,0,0,3,83,79,0,0.0930232558139535,0.0232558139534884
"49","Rik Aalbert",1986,3132895.57851554,"MIN","R",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71,91,1,0,0
"50","Bruce Anton",1986,1236953.59910355,"OAK","L",125,407,57,104,13,1,6,43,3,2,65,68,3,0,0,1,9,3,76,86,0,0.255528255528256,0.0147420147420147
"51","Bruce Douglas",1986,270077.205044443,"SDN","R",63,127,16,32,9,0,8,22,1,0,14,23,3,0,1,0,3,4,74,88,1,0.251968503937008,0.062992125984252
"52","Michael James",1986,1809517.27379777,"BAL","R",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,89,1,0,0
"53","Wade Anthony",1986,2916833.81447998,"BOS","L",149,580,107,207,47,2,8,71,0,4,105,44,14,0,4,4,11,1,95,66,0,0.356896551724138,0.0137931034482759
"54","Roberto Martin Antonio",1986,248471.028640887,"CHA","B",75,234,27,63,10,2,2,26,4,1,33,49,2,1,2,1,4,5,72,90,1,0.269230769230769,0.00854700854700855
"55","Juan Guillermo",1986,259274.116842665,"BAL","R",102,284,33,69,10,1,1,18,0,0,25,21,0,3,4,0,14,7,73,89,1,0.242957746478873,0.00352112676056338
"56","Robert Raymond",1986,1844041.78307301,"CAL","R",144,442,48,98,12,2,7,49,1,0,43,30,1,0,12,6,15,1,92,70,0,0.221719457013575,0.0158371040723982
"57","Richard Albert",1986,540154.410088886,"BAL","R",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,89,1,0,0
"58","Thaddis",1986,707602.27721644,"CHN","L",87,120,15,33,4,1,1,9,3,0,18,24,3,0,1,0,3,5,70,90,1,0.275,0.00833333333333333
"59","Daryl Lamont",1986,146921.999544177,"CHA","L",56,199,29,53,11,3,5,22,9,5,21,33,3,0,3,1,4,5,72,90,1,0.266331658291457,0.0251256281407035
"60","Dennis Ray",1986,810231.615133328,"BOS","R",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,66,0,0,0
"61","Philip Poole",1986,1026293.37916888,"SEA","R",143,526,88,163,27,4,12,50,21,12,77,134,1,8,1,2,9,7,67,95,1,0.309885931558935,0.0228136882129278
"62","Scott William",1986,143681.073083644,"CHA","L",9,21,3,6,0,0,0,0,0,2,1,0,0,2,0,0,1,5,72,90,1,0.285714285714286,0
"63","Scott William",1986,143681.073083644,"SEA","L",68,199,17,60,8,3,5,28,1,0,12,7,4,2,2,2,12,7,67,95,1,0.301507537688442,0.0251256281407035
"64","Michael Charles",1986,129637.058421333,"SEA","R",27,102,12,20,3,2,3,7,1,1,10,21,0,0,1,0,3,7,67,95,1,0.196078431372549,0.0294117647058824
"65","Robert Earl",1986,993884.114563549,"SFN","R",149,472,60,116,26,0,16,62,10,6,74,97,10,3,5,3,4,3,83,79,0,0.245762711864407,0.0338983050847458
"66","George Howard",1986,3179195.45393072,"KCA","L",124,441,70,128,28,4,16,73,1,2,80,45,18,4,0,4,6,3,76,86,1,0.290249433106576,0.036281179138322
"67","Gregory Allen",1986,702200.733115551,"LAN","L",115,325,33,76,13,0,16,52,2,5,37,60,5,0,1,4,5,5,73,89,1,0.233846153846154,0.0492307692307692
"68","Hubert",1986,1404401.4662311,"MON","R",80,306,50,104,18,5,14,58,4,2,25,60,3,2,0,5,11,4,78,83,1,0.339869281045752,0.0457516339869281
"69","John Christopher",1986,334895.734255109,"SFN","R",116,416,57,132,16,3,7,49,13,9,33,43,4,9,0,5,9,3,83,79,0,0.317307692307692,0.0168269230769231
"70","Michael Gary",1986,172849.411228443,"BOS","R",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,66,0,0,0
"71","Michael Gary",1986,172849.411228443,"SEA","R",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,67,95,1,0,0
"72","Thomas Andrew",1986,1598857.0538631,"MIN","R",157,593,69,152,28,1,23,75,12,4,53,98,4,1,1,7,15,6,71,91,1,0.256323777403035,0.0387858347386172
"73","William Joseph",1986,1696084.8476791,"BOS","L",153,629,73,168,39,2,18,102,6,4,40,25,9,4,0,8,25,1,95,66,0,0.267090620031797,0.0286168521462639
"74","Steven Bernard",1986,183652.499430221,"TEX","R",153,461,54,112,19,2,18,54,5,8,35,98,1,5,9,3,10,2,87,75,0,0.24295010845987,0.0390455531453362
"75","Timothy Philip",1986,345698.822456887,"MON","R",68,7,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,4,78,83,1,0,0
"76","Richard Paul",1986,1850929.83211046,"CAL","R",93,271,35,77,14,0,5,29,1,3,33,32,1,1,6,1,2,1,92,70,0,0.284132841328413,0.018450184501845
"77","Robert Randall",1986,475335.880878219,"MIN","L",130,357,50,96,19,7,7,45,5,3,39,63,2,4,1,1,7,6,71,91,1,0.26890756302521,0.0196078431372549
"78","John Daniel",1986,831837.791536884,"MIN","R",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71,91,1,0,0
"79","John Daniel",1986,831837.791536884,"CLE","R",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,78,0,0,0
"80","Brett Morgan",1986,1836524.99430221,"CLE","L",161,587,92,163,17,14,4,51,32,15,70,65,1,4,17,5,8,5,84,78,0,0.277683134582624,0.00681431005110733
"81","Enos Milton",1986,972277.938159994,"LAN","R",107,277,27,71,11,0,2,29,10,4,14,26,2,2,2,3,5,5,73,89,1,0.256317689530686,0.0072202166064982
"82","Jeffrey Wilton",1986,205258.675833777,"HOU","L",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,66,0,0,0
"83","Ernest Carlos",1986,313289.557851554,"CLE","R",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,78,0,0,0
"84","John Robert",1986,1728494.11228443,"CAL","L",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,70,0,0,0
"85","Thomas Caesar",1986,172849.411228443,"CLE","R",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,78,0,0,0
"86","John Anthony",1986,129637.058421333,"CHA","B",137,438,65,103,16,3,2,32,50,17,71,61,0,7,6,3,5,5,72,90,1,0.235159817351598,0.0045662100456621
"87","Jose",1986,162046.323026666,"OAK","R",157,600,85,144,29,1,33,117,15,7,65,175,1,8,0,9,12,3,76,86,0,0.24,0.055
"88","Steven Norman",1986,129637.058421333,"PHI","L",16,34,3,7,1,0,0,5,0,0,1,4,0,0,1,0,2,2,86,75,0,0.205882352941176,0
"89","Steven Norman",1986,2160617.64035554,"PHI","L",16,34,3,7,1,0,0,5,0,0,1,4,0,0,1,0,2,2,86,75,0,0.205882352941176,0
"90","Steven Norman",1986,129637.058421333,"SFN","L",6,11,1,2,0,0,1,3,0,0,0,3,0,0,0,0,1,3,83,79,0,0.181818181818182,0.0909090909090909
"91","Steven Norman",1986,2160617.64035554,"SFN","L",6,11,1,2,0,0,1,3,0,0,0,3,0,0,0,0,1,3,83,79,0,0.181818181818182,0.0909090909090909
"92","Steven Norman",1986,129637.058421333,"CHA","L",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,90,1,0,0
"93","Steven Norman",1986,2160617.64035554,"CHA","L",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,90,1,0,0
"94","Donald Wayne",1986,356501.910658664,"PHI","L",50,31,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,2,86,75,0,0,0
"95","Gary Edmund",1986,4668476.78416318,"NYN","R",132,490,81,125,14,2,24,105,1,0,62,63,9,6,0,15,21,1,108,54,0,0.255102040816327,0.0489795918367347
"96","Joseph Chris",1986,410517.351667553,"CLE","R",162,663,108,200,36,9,29,121,29,7,32,95,3,5,1,8,8,5,84,78,0,0.301659125188537,0.0437405731523379
"97","Monte Carmelo",1986,383509.631163109,"CLE","R",85,205,34,57,9,0,8,32,2,1,9,48,0,1,1,1,9,5,84,78,0,0.278048780487805,0.0390243902439024
"98","William Holland",1986,3312946.32833928,"TOR","R",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,76,1,0,0
"99","Cesar",1986,432123.528071108,"LAN","R",37,78,5,18,2,1,0,6,1,1,7,13,0,0,2,0,0,5,73,89,1,0.230769230769231,0
"100","John Joseph",1986,194455.587631999,"TOR","L",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,76,1,0,0
"101","Ronald Charles",1986,3024864.69649776,"CHN","R",97,256,42,70,21,0,13,36,0,0,44,66,1,3,1,2,5,5,70,90,1,0.2734375,0.05078125
"102","Carroll Christopher",1986,1662491.56460685,"ATL","L",97,122,13,38,8,0,2,14,0,2,15,24,4,0,0,1,2,6,72,89,1,0.311475409836066,0.0163934426229508
"103","James",1986,1469219.99544177,"TOR","R",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,76,1,0,0
"104","Jack Anthony",1986,2808802.9324622,"SLN","R",65,232,34,55,12,2,9,23,1,1,45,61,4,1,0,1,4,3,79,82,1,0.237068965517241,0.0387931034482759
"105","William Nuschler",1986,129637.058421333,"SFN","L",111,408,66,117,27,2,11,41,4,7,34,76,10,3,9,4,3,3,83,79,0,0.286764705882353,0.0269607843137255
"106","William Roger",1986,734609.997720884,"BOS","R",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,66,0,0,0
"107","Christopher Allen",1986,583366.762895996,"OAK","R",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,86,0,0,0
"108","Vincent Maurice",1986,324092.646053331,"SLN","B",154,600,94,139,13,8,0,29,107,14,60,98,0,2,3,5,4,3,79,82,1,0.231666666666667,0
"109","David Brian",1986,129637.058421333,"KCA","L",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,86,1,0,0
"110","Timothy James",1986,245824.272031452,"SLN","L",26,29,2,4,2,0,0,6,0,0,3,11,0,0,8,0,0,3,79,82,1,0.137931034482759,0
"111","Douglas Mitchell",1986,885853.232545772,"CAL","R",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,70,0,0,0
"112","Timothy Michael",1986,475335.880878219,"NYN","L",6,7,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,108,54,0,0,0
"113","Edwin Josue",1986,135038.602522221,"TEX","R",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,87,75,0,0,0
"114","Alfred Edward",1986,777822.350527995,"SEA","R",28,82,5,15,4,0,0,6,1,0,3,18,0,0,1,1,3,7,67,95,1,0.182926829268293,0
"115","Joseph Alan",1986,637382.203904885,"CHA","R",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,90,1,0,0
"116","Danny Bradford",1986,864247.056142217,"SLN","R",32,65,2,5,2,0,0,2,0,0,2,32,0,0,16,0,1,3,79,82,1,0.0769230769230769,0
"117","Steven Ray",1986,713003.821317329,"BOS","R",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,66,0,0,0
"118","Jose",1986,1631266.31846843,"HOU","L",141,479,48,133,22,4,10,72,3,4,55,86,12,0,0,2,9,1,96,66,0,0.277661795407098,0.0208768267223382
"119","Julio Louis",1986,1296370.58421333,"CHA","B",81,209,38,45,2,0,0,19,7,2,42,28,0,0,2,3,4,5,72,90,1,0.215311004784689,0
"120","Ronald Maurice",1986,950671.761756439,"NYN","R",34,81,4,8,2,0,0,0,0,0,3,29,0,0,10,0,0,1,108,54,0,0.0987654320987654,0
